# ----------------------------------------
# All Web Site Data
# All Traffic
# 20190101-20210302
# ----------------------------------------

Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
google / organic,"69,153","67,995","97,939",49.88%,3.87,00:04:43,3.13%,"3,068","₹3,832,174.05"
,"69,153","67,995","97,939",49.88%,3.87,00:04:43,3.13%,"3,068","₹3,832,174.05"

Day Index,Users
1/1/19,5
1/2/19,2
1/3/19,3
1/4/19,5
1/5/19,6
1/6/19,3
1/7/19,3
1/8/19,5
1/9/19,4
1/10/19,5
1/11/19,3
1/12/19,5
1/13/19,3
1/14/19,3
1/15/19,3
1/16/19,7
1/17/19,4
1/18/19,4
1/19/19,3
1/20/19,3
1/21/19,6
1/22/19,3
1/23/19,0
1/24/19,1
1/25/19,0
1/26/19,0
1/27/19,0
1/28/19,4
1/29/19,14
1/30/19,10
1/31/19,14
2/1/19,14
2/2/19,9
2/3/19,7
2/4/19,10
2/5/19,11
2/6/19,5
2/7/19,10
2/8/19,16
2/9/19,98
2/10/19,10
2/11/19,8
2/12/19,7
2/13/19,23
2/14/19,36
2/15/19,5
2/16/19,8
2/17/19,8
2/18/19,7
2/19/19,5
2/20/19,4
2/21/19,7
2/22/19,8
2/23/19,6
2/24/19,4
2/25/19,6
2/26/19,7
2/27/19,4
2/28/19,7
3/1/19,10
3/2/19,11
3/3/19,8
3/4/19,10
3/5/19,9
3/6/19,11
3/7/19,13
3/8/19,5
3/9/19,9
3/10/19,10
3/11/19,11
3/12/19,7
3/13/19,10
3/14/19,10
3/15/19,9
3/16/19,10
3/17/19,8
3/18/19,11
3/19/19,6
3/20/19,8
3/21/19,8
3/22/19,10
3/23/19,5
3/24/19,5
3/25/19,12
3/26/19,9
3/27/19,5
3/28/19,9
3/29/19,8
3/30/19,7
3/31/19,8
4/1/19,7
4/2/19,7
4/3/19,7
4/4/19,11
4/5/19,10
4/6/19,1
4/7/19,16
4/8/19,9
4/9/19,7
4/10/19,16
4/11/19,15
4/12/19,19
4/13/19,9
4/14/19,13
4/15/19,9
4/16/19,11
4/17/19,16
4/18/19,18
4/19/19,20
4/20/19,20
4/21/19,12
4/22/19,12
4/23/19,20
4/24/19,23
4/25/19,16
4/26/19,18
4/27/19,17
4/28/19,13
4/29/19,20
4/30/19,21
5/1/19,24
5/2/19,15
5/3/19,10
5/4/19,19
5/5/19,13
5/6/19,19
5/7/19,19
5/8/19,33
5/9/19,14
5/10/19,20
5/11/19,31
5/12/19,42
5/13/19,26
5/14/19,22
5/15/19,24
5/16/19,21
5/17/19,20
5/18/19,14
5/19/19,17
5/20/19,20
5/21/19,21
5/22/19,16
5/23/19,15
5/24/19,24
5/25/19,25
5/26/19,16
5/27/19,21
5/28/19,16
5/29/19,18
5/30/19,17
5/31/19,20
6/1/19,22
6/2/19,21
6/3/19,24
6/4/19,25
6/5/19,21
6/6/19,16
6/7/19,19
6/8/19,13
6/9/19,20
6/10/19,22
6/11/19,27
6/12/19,25
6/13/19,22
6/14/19,38
6/15/19,32
6/16/19,27
6/17/19,27
6/18/19,15
6/19/19,16
6/20/19,23
6/21/19,11
6/22/19,26
6/23/19,19
6/24/19,27
6/25/19,28
6/26/19,28
6/27/19,22
6/28/19,21
