Path,Catalog
https://www.cakegift.in/round-vanilla-sprinkles-cake,"Cakes, Vanilla Cake"
https://www.cakegift.in/square-pineapple-cake,"Cakes, Occasions, Anniversary Cake, Rakhi Gifts Online, Valentine Day Gifts, Children's Day Gifts, Pineapple Cake, Birthday Cakes Online"
https://www.cakegift.in/chocolate-cake-garnished-white-chocolate-slabs,"Cakes, Chocolate Cake, Birthday Cakes Online"
https://www.cakegift.in/rectangle-chocolate-cake,"Cakes, Valentine Day Gifts, Children's Day Gifts, Chocolate Cake, Birthday Cakes Online"
https://www.cakegift.in/round-dark-chocolate-cake,"Cakes, 1st Anniversary Cake, Chocolate Cake, Birthday Cakes Online"
https://www.cakegift.in/pineapple-cake-cream-flower,"Cakes, Pineapple Cake, Birthday Cakes Online, Anniversary Cake"
https://www.cakegift.in/square-chocolate-cake,"Cakes, Anniversary Cake, Valentine Day Gifts, Children's Day Gifts, Chocolate Cake, Birthday Cakes Online, Christmas Gift"
https://www.cakegift.in/square-butterscotch-cake,"Cakes, Anniversary Cake, Anniversary, Cake & Teddy Bear, Butterscotch Cake"
https://www.cakegift.in/15-red-carnations-half-kg-black-forest-cake-teddy-chocolate-bars,"Combo, Flowers & Chocolates, Cake & Chocolate, Chocolate & Teddy Bear, Anniversary Combo"
https://www.cakegift.in/bunchof-10-red-roses-half-kg-black-forest-cake-and-teddy-bear,"Flowers, Roses, valentine, Valentine Day Gifts, Valentine Flowers Online, Rose Day, Valentine Gift for Her, Valentine Gift For Him, Birthday Flowers, Anniversary Flower, Anniversary Combo, Birthday Combo, Valentine Combo, Combo, Teddy Day Gifts Online"
https://www.cakegift.in/basket-arrangement-15-mixed-carnations-1-kg-black-fores-cake,"Combo, Sweets, Karwa Chauth Gifts Online, Christmas Gift, New Year 2021"
https://www.cakegift.in/beautiful-6-blue-orchids-half-kg-chocolate-cake,"Combo, Flowers and Cake"
https://www.cakegift.in/beautiful-10-blue-orchids-vase-half-kg-black-forest-cake,"Combo, Flowers and Cake"
https://www.cakegift.in/beautiful-13-pink-roses-3-lilies-half-kg-round-black-forest-cake,"Combo, Black Forest Cake Online, Birthday Combo"
https://www.cakegift.in/bouquet-6-orchids-half-kg-black-forest-cake-12-inch-teddy,"Combo, Black Forest Cake Online, Birthday Combo"
https://www.cakegift.in/bouquet-6-orchids-half-kg-black-forest-cake,"Combo, Black Forest Cake Online, Birthday Combo"
https://www.cakegift.in/bouquet-10-red-roses-half-kg-chocolate-cake,"Flowers, Roses, valentine, Valentine Day Gifts, Valentine Flowers Online, Rose Day, Valentine Gift for Her, Valentine Gift For Him, Birthday Flowers, Anniversary Flower, Anniversary Combo, Birthday Combo, Valentine Combo, Combo"
https://www.cakegift.in/bunch-4-purple-orchids-2-lilies-half-kg-black-forest-cake,"Combo, Flowers and Cake, Birthday Combo"
https://www.cakegift.in/bunch-10-mix-flowers-1-kg-round-chocolate-cake,Combo
https://www.cakegift.in/bunch-10-pink-roses-half-kg-black-forest-cake-12-inches-teddy,"Flowers, Roses, valentine, Valentine Day Gifts, Valentine Flowers Online, Rose Day, Valentine Gift for Her, Valentine Gift For Him, Birthday Flowers, Anniversary Flower, Anniversary Combo, Birthday Combo, Valentine Combo, Combo, Teddy Day Gifts Online"
https://www.cakegift.in/bunch-10-pink-roses-half-kg-strawberry-cake,"Combo, Delivery Type, Early Morning Delivery, Fix Time Delivery, Get Mid Night Delivery, Get Same Day Delivery, Men, Women, Couples, Friendship Day"
https://www.cakegift.in/bunch-10-red-carnations-half-kg-black-forest-cake,"Combo, Flowers and Cake"
https://www.cakegift.in/bunch-10-red-roses-half-kg-pineapple-cake,"Combo, Valentine Day Gifts"
https://www.cakegift.in/bunch-10-yellow-carnations-half-kg-truffle-chocolate-cake,"Combo, Flowers and Cake"
https://www.cakegift.in/bunch-12-white-gerberas-6-inches-teddy-half-kg-vanilla-cake,"Combo, Valentine Day Gifts, Children's Day Gifts, Vanilla Cake, Birthday Combo"
https://www.cakegift.in/bunch-15-mix-roses-half-kg-black-forest-cake-chocolate-bars,"Combo, Flowers and Cake"
https://www.cakegift.in/bunch-15-pink-roses-half-kg-black-forest-cake,"Flowers, Roses, valentine, Valentine Day Gifts, Valentine Flowers Online, Rose Day, Valentine Gift for Her, Valentine Gift For Him, Birthday Flowers, Anniversary Flower, Anniversary Combo, Birthday Combo, Valentine Combo, Combo"
https://www.cakegift.in/bunch-20-mix-carnations-half-kg-vanilla-cake-teddy,"Combo, Valentine Day Gifts, Children's Day Gifts, Vanilla Cake, Birthday Combo, Valentine Gift for Her, Valentine Combo, Valentine Flowers Online, Valentine Day Cake Online, Teddy Day Gifts Online"
https://www.cakegift.in/bunch-20-mix-roses-half-kg-pineapple-cake-and-celebrations,"Combo, Birthday Combo"
https://www.cakegift.in/cushion-mothers-day,
https://www.cakegift.in/gift-pack-mother,
https://www.cakegift.in/mothers-day-chocolate-cake,
https://www.cakegift.in/special-gift-mother,
https://www.cakegift.in/mothers-day-cake-photo,"Cakes, Mother's Day Gifts"
https://www.cakegift.in/blue-orchid-vase,Flowers
https://www.cakegift.in/red-roses-vase,"Flowers, Roses, valentine, Valentine Day Gifts, Valentine Flowers Online, Rose Day, Valentine Gift for Her, Valentine Gift For Him, Birthday Flowers, Anniversary Flower, Propose Day, Kiss Day Gifts Online, Promise Day Gifts Online, Hug Day Gifts Online"
https://www.cakegift.in/elegant-affection-bouquet,Flowers
https://www.cakegift.in/elegant-pink-bouquet,"Flowers, Roses, Delivery Type, Get Same Day Delivery, Get Mid Night Delivery, Gift By Recipient, Men, Women, Premium Flower, Propose Day, Kiss Day Gifts Online, Promise Day Gifts Online, Hug Day Gifts Online"
https://www.cakegift.in/mr-n-mrscoffee-couple-cup,"Gift, Gift By Recipient"
https://www.cakegift.in/dairy-milk-teddy-gift,"Gift, Valentine Day Gifts, Children's Day Gifts, Anniversary Combo, Birthday Combo, Birthday Gift, valentine, Valentine Chocolate Online, Valentine Combo, Valentine Gift for Her, Teddy Day Gifts Online, Teddy Bear"
https://www.cakegift.in/dairy-milk-bouquet,"Birthday Gift, Chocolate, Valentine Day Gifts, Karwa Chauth Gifts Online"
https://www.cakegift.in/teddy-choco-bunch,"Combo, Flower & Teddy Bear, Birthday Combo, valentine, Valentine Chocolate Online, Valentine Day Gifts, Teddy Day Gifts Online, Promise Day Gifts Online, Hug Day Gifts Online, Propose Day"
https://www.cakegift.in/choco-carnations,"Combo, Chocolate, Flowers"
https://www.cakegift.in/lily-bunch-n-cake,"Combo, Flowers and Cake"
https://www.cakegift.in/combo-love,
https://www.cakegift.in/celebrate-rakhi-sweets,"Occasions, Rakhi Gifts Online"
https://www.cakegift.in/black-forest-cake,"Cakes, Black Forest Cake Online, Birthday Cakes Online, Anniversary Cake"
https://www.cakegift.in/delicious-butter-scotch-cake,"Cakes, Mother's Day Gifts, Anniversary Cake, Republic day, Butterscotch Cake, Birthday Cakes Online"
https://www.cakegift.in/vanilla-cake,"Cakes, Republic day, Vanilla Cake, Birthday Cakes Online"
https://www.cakegift.in/yummy-pineapple-cake,"Cakes, Pineapple Cake, Fruit Cake, Birthday Cakes Online"
