Date,Sessions
2019-01-01,17
2019-01-02,16
2019-01-03,11
2019-01-04,14
2019-01-05,16
2019-01-06,7
2019-01-07,15
2019-01-08,30
2019-01-09,26
2019-01-10,16
2019-01-11,23
2019-01-12,12
2019-01-13,11
2019-01-14,16
2019-01-15,38
2019-01-16,53
2019-01-17,42
2019-01-18,63
2019-01-19,30
2019-01-20,34
2019-01-21,88
2019-01-22,47
2019-01-23,0
2019-01-24,7
2019-01-25,4
2019-01-26,0
2019-01-27,0
2019-01-28,81
2019-01-29,92
2019-01-30,96
2019-01-31,103
2019-02-01,122
2019-02-02,58
2019-02-03,103
2019-02-04,144
2019-02-05,137
2019-02-06,115
2019-02-07,302
2019-02-08,180
2019-02-09,337
2019-02-10,150
2019-02-11,137
2019-02-12,216
2019-02-13,337
2019-02-14,1036
2019-02-15,298
2019-02-16,310
2019-02-17,258
2019-02-18,244
2019-02-19,160
2019-02-20,173
2019-02-21,198
2019-02-22,121
2019-02-23,141
2019-02-24,151
2019-02-25,163
2019-02-26,160
2019-02-27,252
2019-02-28,219
2019-03-01,181
2019-03-02,182
2019-03-03,192
2019-03-04,162
2019-03-05,196
2019-03-06,174
2019-03-07,237
2019-03-08,258
2019-03-09,210
2019-03-10,213
2019-03-11,216
2019-03-12,191
2019-03-13,200
2019-03-14,202
2019-03-15,189
2019-03-16,209
2019-03-17,183
2019-03-18,219
2019-03-19,184
2019-03-20,150
2019-03-21,103
2019-03-22,132
2019-03-23,100
2019-03-24,117
2019-03-25,144
2019-03-26,133
2019-03-27,153
2019-03-28,176
2019-03-29,159
2019-03-30,172
2019-03-31,179
2019-04-01,187
2019-04-02,181
2019-04-03,217
2019-04-04,238
2019-04-05,223
2019-04-06,193
2019-04-07,194
2019-04-08,208
2019-04-09,275
2019-04-10,278
2019-04-11,225
2019-04-12,267
2019-04-13,251
2019-04-14,176
2019-04-15,109
2019-04-16,184
2019-04-17,216
2019-04-18,183
2019-04-19,289
2019-04-20,234
2019-04-21,178
2019-04-22,258
2019-04-23,296
2019-04-24,319
2019-04-25,304
2019-04-26,321
2019-04-27,283
2019-04-28,82
2019-04-29,332
2019-04-30,227
2019-05-01,286
2019-05-02,266
2019-05-03,241
2019-05-04,323
2019-05-05,322
2019-05-06,275
2019-05-07,348
2019-05-08,315
2019-05-09,339
2019-05-10,330
2019-05-11,462
2019-05-12,749
2019-05-13,338
2019-05-14,174
2019-05-15,317
2019-05-16,284
2019-05-17,246
2019-05-18,224
2019-05-19,207
2019-05-20,253
2019-05-21,217
2019-05-22,225
2019-05-23,244
2019-05-24,241
2019-05-25,254
2019-05-26,263
2019-05-27,208
2019-05-28,236
2019-05-29,167
2019-05-30,131
2019-05-31,139
2019-06-01,167
2019-06-02,154
2019-06-03,138
2019-06-04,169
2019-06-05,155
2019-06-06,141
2019-06-07,112
2019-06-08,122
2019-06-09,121
2019-06-10,137
2019-06-11,186
2019-06-12,153
2019-06-13,164
2019-06-14,184
2019-06-15,259
2019-06-16,196
2019-06-17,140
2019-06-18,174
2019-06-19,143
2019-06-20,184
2019-06-21,178
2019-06-22,181
2019-06-23,173
2019-06-24,164
2019-06-25,162
2019-06-26,187
2019-06-27,164
2019-06-28,135
2019-06-29,149
2019-06-30,45
2019-07-01,120
2019-07-02,172
2019-07-03,137
2019-07-04,176
2019-07-05,198
2019-07-06,67
2019-07-07,46
2019-07-08,174
