Device Category,Country,Date,Session
desktop,(not set),2019-01-05,1
desktop,(not set),2019-01-07,1
desktop,(not set),2019-01-11,2
desktop,(not set),2019-01-29,1
desktop,(not set),2019-02-01,1
desktop,(not set),2019-02-06,1
desktop,(not set),2019-02-14,1
desktop,(not set),2019-02-18,2
desktop,(not set),2019-02-19,1
desktop,(not set),2019-02-27,1
desktop,(not set),2019-02-28,7
desktop,(not set),2019-03-01,2
desktop,(not set),2019-03-08,5
desktop,(not set),2019-03-12,3
desktop,(not set),2019-03-13,7
desktop,(not set),2019-03-14,2
desktop,(not set),2019-03-15,5
desktop,(not set),2019-03-18,1
desktop,(not set),2019-03-21,1
desktop,(not set),2019-03-22,2
desktop,(not set),2019-03-23,3
desktop,(not set),2019-03-25,1
desktop,(not set),2019-03-26,1
desktop,(not set),2019-03-27,1
desktop,(not set),2019-04-02,1
desktop,(not set),2019-04-03,1
desktop,(not set),2019-04-08,2
desktop,(not set),2019-04-09,1
desktop,(not set),2019-04-19,1
desktop,(not set),2019-04-24,2
desktop,(not set),2019-04-26,1
desktop,(not set),2019-05-01,2
desktop,(not set),2019-05-03,2
desktop,(not set),2019-05-04,3
desktop,(not set),2019-05-05,3
desktop,(not set),2019-05-06,1
desktop,(not set),2019-05-07,5
desktop,(not set),2019-05-08,5
desktop,(not set),2019-05-09,4
desktop,(not set),2019-05-11,2
desktop,(not set),2019-05-12,2
desktop,(not set),2019-05-13,1
desktop,(not set),2019-05-14,2
desktop,(not set),2019-05-15,1
desktop,(not set),2019-05-16,2
desktop,(not set),2019-05-17,3
desktop,(not set),2019-05-18,1
desktop,(not set),2019-05-19,2
desktop,(not set),2019-05-20,6
desktop,(not set),2019-05-22,2
desktop,(not set),2019-05-23,1
desktop,(not set),2019-05-24,2
desktop,(not set),2019-05-25,3
desktop,(not set),2019-05-26,4
desktop,(not set),2019-05-27,9
desktop,(not set),2019-05-28,5
desktop,(not set),2019-05-29,3
desktop,(not set),2019-05-30,2
desktop,(not set),2019-05-31,6
desktop,(not set),2019-06-01,5
desktop,(not set),2019-06-02,2
desktop,(not set),2019-06-03,4
desktop,(not set),2019-06-04,1
desktop,(not set),2019-06-05,3
desktop,(not set),2019-06-06,8
desktop,(not set),2019-06-07,1
desktop,(not set),2019-06-08,2
desktop,(not set),2019-06-09,5
desktop,(not set),2019-06-10,3
desktop,(not set),2019-06-11,3
desktop,(not set),2019-06-12,4
desktop,(not set),2019-06-13,5
desktop,(not set),2019-06-14,1
desktop,(not set),2019-06-15,2
