_id,dynamicProperties,basisOfRecord,bed,catalogNumber,class,collectionCode,continent,country,day,decimalLatitude,decimalLongitude,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,family,fieldNumber,formation,genus,geodeticDatum,georeferenceProtocol,group,habitat,higherClassification,higherGeography,highestBiostratigraphicZone,identificationQualifier,identifiedBy,individualCount,infraspecificEpithet,institutionCode,island,islandGroup,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lifeStage,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,member,minimumDepthInMeters,minimumElevationInMeters,modified,month,occurrenceID,order,otherCatalogNumbers,phylum,preparations,recordNumber,recordedBy,samplingProtocol,scientificName,scientificNameAuthorship,sex,specificEpithet,stateProvince,subgenus,taxonRank,typeStatus,verbatimLatitude,verbatimLongitude,waterBody,year
8780064,"{""created"": 1552997832000, ""barcode"": ""013376653"", ""donorname"": ""Dr R Ritteno"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Cacyreus niebuhri Larsen, 1982"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376653,Insecta,BMNH(E),Asia,Yemen,,,,,,,,,Lycaenidae,,,Cacyreus,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Yemen,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591107827000,,f748d9c2-f951-4b97-899a-789069fa6a9b,Lepidoptera,NHMUK:ecatalogue:8780064,,,,,,"Cacyreus niebuhri Larsen, 1982","Larsen, 1982",,niebuhri,,,,PARATYPE,,,,
8780063,"{""created"": 1552997830000, ""barcode"": ""013376652"", ""donorname"": ""Dr R Ritteno"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Cacyreus niebuhri Larsen, 1982"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376652,Insecta,BMNH(E),Asia,Yemen,,,,,,,,,Lycaenidae,,,Cacyreus,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Yemen,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591107662000,,e4a93ff1-887c-4484-9066-37bbbccd60a9,Lepidoptera,NHMUK:ecatalogue:8780063,,,,,,"Cacyreus niebuhri Larsen, 1982","Larsen, 1982",,niebuhri,,,,PARATYPE,,,,
8780062,"{""created"": 1552997828000, ""barcode"": ""013376651"", ""donorname"": ""Dr R Ritteno"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Cacyreus niebuhri Larsen, 1982"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376651,Insecta,BMNH(E),Asia,Yemen,,,,,,,,,Lycaenidae,,,Cacyreus,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Yemen,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591107521000,,da92d0af-6081-4cb5-9efa-4462fa588c49,Lepidoptera,NHMUK:ecatalogue:8780062,,,,,,"Cacyreus niebuhri Larsen, 1982","Larsen, 1982",,niebuhri,,,,PARATYPE,,,,
8780061,"{""created"": 1552997826000, ""barcode"": ""013376650"", ""donorname"": ""Dr R Ritteno"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Cacyreus niebuhri Larsen, 1982"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376650,Insecta,BMNH(E),Asia,Yemen,,,,,,,,,Lycaenidae,,,Cacyreus,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Yemen,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591015307000,,dfa5a3cb-a79a-4aa8-b54b-f51696d9cddb,Lepidoptera,NHMUK:ecatalogue:8780061,,,,,,"Cacyreus niebuhri Larsen, 1982","Larsen, 1982",,niebuhri,,,,PARATYPE,,,,
8780060,"{""created"": 1552997825000, ""barcode"": ""013376649"", ""donorname"": ""Dr R Ritteno"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Cacyreus niebuhri Larsen, 1982"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376649,Insecta,BMNH(E),Asia,Yemen,,,,,,,,,Lycaenidae,,,Cacyreus,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Yemen,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591015125000,,22735e36-309a-4d52-b681-5f837232b069,Lepidoptera,NHMUK:ecatalogue:8780060,,,,,,"Cacyreus niebuhri Larsen, 1982","Larsen, 1982",,niebuhri,,,,PARATYPE,,,,
8780059,"{""created"": 1552997823000, ""barcode"": ""013376648"", ""donorname"": ""Dr R Ritteno"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Cacyreus niebuhri Larsen, 1982"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376648,Insecta,BMNH(E),Asia,Yemen,,,,,,,,,Lycaenidae,,,Cacyreus,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Yemen,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591006416000,,30ebe578-6af0-4e87-aa26-52f59a812c8e,Lepidoptera,NHMUK:ecatalogue:8780059,,,,,,"Cacyreus niebuhri Larsen, 1982","Larsen, 1982",,niebuhri,,,,PARATYPE,,,,
8780055,"{""created"": 1552997816000, ""barcode"": ""013376581"", ""donorname"": ""Professor Jérôme Pagès"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Albulina farazi Pagès & Charmeaux, 1997"", ""preservative"": ""Dry - pinned""}",Specimen,,BMNH(E)806238,Insecta,BMNH(E),Asia,Pakistan,,,,,,,,,Lycaenidae,,,Albulina,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Pakistan,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591004002000,,1da1a359-f0a7-426c-8a9d-3a6d60ed715c,Lepidoptera,NHMUK:ecatalogue:8780055,,,,,,"Albulina farazi Pagès & Charmeaux, 1997","Pagès & Charmeaux, 1997",,farazi,,,,PARATYPE,,,,
8780050,"{""created"": 1552997807000, ""barcode"": ""012824360"", ""donorname"": ""Professor Dr Nick Grishin"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Phareas burnsi Grishin, 2013"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK012824360,Insecta,BMNH(E),North America,Costa Rica,,,,,,,,,Hesperiidae,,,Phareas,,,,,Insecta; Lepidoptera; Papilionoidea; Hesperiidae; Pyrginae,North America; Costa Rica,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591003851000,,78d2c64f-5cb8-4e39-934a-7a0121f28445,Lepidoptera,NHMUK:ecatalogue:8780050,,,,,,"Phareas burnsi Grishin, 2013","Grishin, 2013",,burnsi,,,,PARATYPE,,,,
8780049,"{""created"": 1552997805000, ""barcode"": ""012824359"", ""donorname"": ""Professor Dr Nick Grishin"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Phareas burnsi Grishin, 2013"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK012824359,Insecta,BMNH(E),North America,Costa Rica,,,,,,,,,Hesperiidae,,,Phareas,,,,,Insecta; Lepidoptera; Papilionoidea; Hesperiidae; Pyrginae,North America; Costa Rica,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591003605000,,6f72825e-1562-4a5c-a183-68d2766f9995,Lepidoptera,NHMUK:ecatalogue:8780049,,,,,,"Phareas burnsi Grishin, 2013","Grishin, 2013",,burnsi,,,,PARATYPE,,,,
8780048,"{""created"": 1552997803000, ""barcode"": ""012824362"", ""donorname"": ""Professor Dr Nick Grishin"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Eracon sarahburnsae Grishin, 2014"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK012824362,Insecta,BMNH(E),North America,Costa Rica,,,,,,,,,Hesperiidae,,,Eracon,,,,,Insecta; Lepidoptera; Hesperioidea; Hesperiidae; Pyrginae,North America; Costa Rica,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591003459000,,5ae56c37-d913-4611-b4fd-f3c1f74347cc,Lepidoptera,NHMUK:ecatalogue:8780048,,,,,,"Eracon sarahburnsae Grishin, 2014","Grishin, 2014",,sarahburnsae,,,,PARATYPE,,,,
