rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.29,0.2,95.46
2,2,Bayern Munich,German Bundesliga,3.51,0.31,95.21
3,3,Liverpool,Barclays Premier League,2.81,0.34,91.1
4,4,Paris Saint-Germain,French Ligue 1,3.18,0.6,89.88
5,5,Barcelona,Spanish Primera Division,2.92,0.51,89.21
6,6,Real Madrid,Spanish Primera Division,2.52,0.36,88.48
7,7,Manchester United,Barclays Premier League,2.46,0.34,88.2
8,8,RB Leipzig,German Bundesliga,2.52,0.52,85.42
9,9,Chelsea,Barclays Premier League,2.56,0.54,85.41
10,10,Atletico Madrid,Spanish Primera Division,2.13,0.32,85.21
11,11,Borussia Dortmund,German Bundesliga,2.38,0.55,83.29
12,13,Internazionale,Italy Serie A,2.48,0.62,83.07
13,12,Sevilla FC,Spanish Primera Division,2.07,0.42,82.36
14,14,Atalanta,Italy Serie A,2.46,0.65,82.2
15,15,FC Salzburg,Austrian T-Mobile Bundesliga,3.03,1.05,81.36
16,16,Leicester City,Barclays Premier League,2.13,0.5,81.1
17,17,Juventus,Italy Serie A,2.38,0.67,80.93
18,18,Wolverhampton,Barclays Premier League,1.87,0.36,80.92
19,19,AC Milan,Italy Serie A,2.35,0.65,80.83
20,20,Bayer Leverkusen,German Bundesliga,2.29,0.66,79.76
21,21,Borussia Monchengladbach,German Bundesliga,2.32,0.72,78.93
22,23,Zenit St Petersburg,Russian Premier Liga,2.23,0.67,78.86
23,22,Napoli,Italy Serie A,2.13,0.63,78.38
24,24,Real Sociedad,Spanish Primera Division,1.96,0.58,76.97
25,25,Villarreal,Spanish Primera Division,2.17,0.73,76.73
26,26,Getafe,Spanish Primera Division,1.71,0.43,76.55
27,27,Ajax,Dutch Eredivisie,2.54,0.99,76.46
28,28,Tottenham Hotspur,Barclays Premier League,2.07,0.67,76.37
29,29,Arsenal,Barclays Premier League,2.12,0.71,76.36
30,30,AS Roma,Italy Serie A,2.22,0.8,75.92
31,31,FC Porto,Portuguese Liga,2.03,0.67,75.75
32,32,Granada,Spanish Primera Division,1.93,0.61,75.71
33,33,Southampton,Barclays Premier League,2.07,0.72,75.27
34,34,Olympiacos,Greek Super League,2.05,0.71,75.22
35,35,TSG Hoffenheim,German Bundesliga,2.33,0.96,74.11
36,36,Lyon,French Ligue 1,1.85,0.63,73.92
37,37,VfL Wolfsburg,German Bundesliga,1.99,0.74,73.7
38,38,Everton,Barclays Premier League,1.89,0.67,73.51
39,39,Leganes,Spanish Primera Division,1.66,0.52,73.47
40,41,Benfica,Portuguese Liga,2.07,0.86,72.11
41,42,Real Betis,Spanish Primera Division,1.96,0.8,71.69
42,40,Shakhtar Donetsk,UEFA Europa League,2.2,0.98,71.49
43,43,Eintracht Frankfurt,German Bundesliga,2.13,0.94,71.41
44,44,Lazio,Italy Serie A,2.06,0.89,71.4
45,45,Sheffield United,Barclays Premier League,1.71,0.63,71.32
46,46,Burnley,Barclays Premier League,1.8,0.71,71.07
47,48,Lille,French Ligue 1,1.75,0.68,70.78
48,49,Watford,Barclays Premier League,1.96,0.84,70.77
49,50,Osasuna,Spanish Primera Division,1.83,0.75,70.49
50,51,West Ham United,Barclays Premier League,2.01,0.89,70.36
51,52,Leeds United,English League Championship,1.81,0.76,70.01
52,53,Celta Vigo,Spanish Primera Division,1.77,0.73,69.9
53,47,Flamengo,Brasileiro Série A,1.92,0.85,69.65
54,54,Fiorentina,Italy Serie A,1.8,0.77,69.41
55,55,Brighton and Hove Albion,Barclays Premier League,1.78,0.77,69.05
56,56,Young Boys,Swiss Raiffeisen Super League,2.21,1.11,69.01
57,57,Eibar,Spanish Primera Division,1.74,0.75,68.79
58,58,Crystal Palace,Barclays Premier League,1.69,0.73,68.51
59,59,Club Brugge,Belgian Jupiler League,1.84,0.84,68.44
60,60,AS Monaco,French Ligue 1,1.96,0.97,67.69
61,62,Espanyol,Spanish Primera Division,1.64,0.73,67.39
62,71,Palmeiras,Brasileiro Série A,1.69,0.77,67.29
63,61,Celtic,Scottish Premiership,2.08,1.08,67.22
64,63,AFC Bournemouth,Barclays Premier League,1.97,1.0,67.13
65,64,Marseille,French Ligue 1,1.71,0.8,67.12
66,65,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
67,66,AZ,Dutch Eredivisie,1.9,0.95,66.93
68,67,Hertha Berlin,German Bundesliga,1.91,0.96,66.92
69,68,Grêmio,Brasileiro Série A,1.71,0.81,66.85
70,69,Stade Rennes,French Ligue 1,1.6,0.73,66.62
71,70,Basel,Swiss Raiffeisen Super League,2.03,1.08,66.54
72,72,Valencia,Spanish Primera Division,1.8,0.91,66.19
73,73,Sassuolo,Italy Serie A,1.98,1.05,66.18
74,74,Brentford,English League Championship,1.68,0.83,65.83
75,75,Athletic Bilbao,Spanish Primera Division,1.67,0.82,65.79
76,76,Aston Villa,Barclays Premier League,1.76,0.89,65.63
77,77,River Plate,Argentina Primera Division,1.74,0.88,65.48
78,78,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
79,79,SC Freiburg,German Bundesliga,1.96,1.07,65.43
80,80,Real Valladolid,Spanish Primera Division,1.54,0.73,65.29
81,81,Levante,Spanish Primera Division,1.87,1.0,65.25
82,84,Werder Bremen,German Bundesliga,1.82,0.98,64.98
83,85,Mainz,German Bundesliga,1.91,1.05,64.9
84,82,FC Krasnodar,Russian Premier Liga,1.64,0.85,64.49
85,86,PSV,Dutch Eredivisie,1.87,1.04,64.48
86,87,FC Cologne,German Bundesliga,1.95,1.1,64.37
87,88,LASK Linz,Austrian T-Mobile Bundesliga,1.9,1.09,63.86
88,89,Braga,Portuguese Liga,1.84,1.04,63.74
89,83,CSKA Moscow,Russian Premier Liga,1.71,0.93,63.67
90,90,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
91,91,Newcastle,Barclays Premier League,1.65,0.92,62.87
92,92,Strasbourg,French Ligue 1,1.57,0.86,62.68
93,93,1. FC Union Berlin,German Bundesliga,1.7,0.97,62.53
94,94,Sampdoria,Italy Serie A,1.78,1.07,61.95
95,95,Udinese,Italy Serie A,1.56,0.88,61.87
96,96,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
97,97,Bordeaux,French Ligue 1,1.5,0.84,61.76
98,98,Mallorca,Spanish Primera Division,1.77,1.06,61.73
99,99,Alavés,Spanish Primera Division,1.58,0.9,61.69
100,101,Montpellier,French Ligue 1,1.56,0.89,61.55
101,102,Angers,French Ligue 1,1.4,0.76,61.51
102,103,FC Augsburg,German Bundesliga,1.7,1.02,61.4
103,100,Lokomotiv Moscow,Russian Premier Liga,1.57,0.91,61.31
104,104,West Bromwich Albion,English League Championship,1.57,0.92,61.24
105,105,Nantes,French Ligue 1,1.5,0.86,60.98
106,106,Sporting CP,Portuguese Liga,1.48,0.86,60.7
107,107,FC Midtjylland,Danish SAS-Ligaen,1.76,1.1,60.61
108,108,Verona,Italy Serie A,1.65,1.02,60.48
109,109,PAOK Salonika,Greek Super League,1.46,0.85,60.44
110,110,Reims,French Ligue 1,1.36,0.77,60.28
111,111,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
112,112,AEK Athens,Greek Super League,1.53,0.92,60.22
113,113,Fortuna Düsseldorf,German Bundesliga,1.69,1.08,59.75
114,114,KAA Gent,Belgian Jupiler League,1.8,1.18,59.67
115,115,Schalke 04,German Bundesliga,1.63,1.03,59.6
116,116,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.69,1.09,59.44
117,117,Guimaraes,Portuguese Liga,1.53,0.95,59.32
118,118,Feyenoord,Dutch Eredivisie,1.9,1.29,59.31
119,119,Besiktas,Turkish Turkcell Super Lig,1.82,1.21,59.28
120,120,Internacional,Brasileiro Série A,1.47,0.91,59.0
121,121,Rapid Vienna,Austrian T-Mobile Bundesliga,1.86,1.26,58.93
122,135,Kawasaki Frontale,Japanese J League,1.85,1.26,58.88
